state,numcol,yieldpercol,totalprod,stocks,priceperlb,prodvalue,year
31.0,55000,34,1870000,767000,1.54,2880000,2009
26.0,5000,52,260000,99000,3.39,881000,2012
24.0,43000,75,3225000,1161000,1.49,4805000,2002
3.0,340000,40,13600000,3672000,1.04,14144000,2007
4.0,27000,72,1944000,1594000,0.7,1361000,1998
36.0,97000,79,7663000,1533000,0.65,4981000,2001
3.0,360000,51,18360000,4039000,1.39,25520000,2008
22.0,8000,59,472000,151000,1.38,651000,1998
37.0,28000,42,1176000,270000,1.13,1329000,2007
25.0,9000,40,360000,122000,1.62,583000,2008
24.0,40000,68,2720000,2530000,0.87,2366000,2005
21.0,134000,70,9380000,4596000,1.37,12851000,2008
37.0,24000,41,984000,462000,0.6,590000,2000
15.0,2000,42,84000,21000,1.93,162000,2003
19.0,7000,53,371000,108000,2.8,1039000,2012
26.0,11000,44,484000,252000,1.1,532000,2002
10.0,8000,85,680000,408000,1.84,1251000,2005
12.0,14000,40,560000,196000,1.18,661000,2007
17.0,65000,68,4420000,2519000,0.94,4155000,2005
26.0,14000,55,770000,470000,0.76,585000,1998
6.0,65000,43,2795000,196000,1.65,4612000,2011
1.0,52000,93,4836000,3337000,0.57,2757000,2000
14.0,34000,90,3060000,275000,1.24,3794000,2003
16.0,6000,50,300000,51000,1.95,585000,2009
25.0,11000,41,451000,135000,3.7,1669000,2011
0.0,8000,54,432000,65000,2.47,1067000,2012
1.0,25000,63,1575000,189000,1.98,3119000,2012
37.0,23000,39,897000,170000,1.75,1570000,2011
40.0,58000,51,2958000,1361000,0.64,1893000,1998
19.0,15000,50,750000,180000,1.22,915000,2005
35.0,7000,61,427000,149000,2.09,892000,2008
43.0,39000,85,3315000,497000,0.98,3249000,2006
41.0,64000,64,4096000,1556000,1.68,6881000,2010
35.0,7000,64,448000,121000,1.32,591000,1998
41.0,60000,69,4140000,1863000,2.05,8487000,2012
39.0,7000,83,581000,163000,1.96,1139000,2003
0.0,12000,87,1044000,282000,1.41,1472000,2004
